question_id,question_var_id,answer_var_id,question,answer_options,num_scale,scale_type,question_type,subject,source,shuffle_seed
21,1,1,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,
21,1,2,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot']","[0.33333333, -0.33333333, -1.0, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2
21,1,3,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much']","[-1.0, 0.33333333, 1.0, -0.33333333]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7
21,1,4,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot']","[-1.0, -0.33333333, 0.33333333, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10
21,1,5,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot']","[-0.33333333, 0.33333333, -1.0, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67
21,1,6,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A lot', 'None at all', 'Not too much', 'A fair amount']","[1.0, -1.0, -0.33333333, 0.33333333]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101
22,1,1,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,
22,1,2,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot']","[0.33333333, -0.33333333, -1.0, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2
22,1,3,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much']","[-1.0, 0.33333333, 1.0, -0.33333333]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7
22,1,4,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot']","[-1.0, -0.33333333, 0.33333333, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10
