question_id,question_var_id,answer_var_id,question,answer_options,source
1,1,1,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
2,1,1,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
3,1,1,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
4,1,1,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
5,1,1,Do you currently or have you ever owned a shotgun?,"['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
6,1,1,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
7,1,1,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
8,1,1,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
9,1,1,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
10,1,1,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
11,1,1,Which of the following is the most important reason why you own a gun?,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
12,1,1,"How important, if at all, is being a gun owner to your overall identity?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
13,1,1,"As far as you know, how many of your friends, if any, own guns?","['All or most', 'Some', 'Only a few', 'None', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
14,1,1,"How often, if ever, do you go shooting or to a gun range?","['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
15,1,1,Does having a gun in your household make you feel,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
16,1,1,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
17,1,1,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?","['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
18,1,1,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
19,1,1,"In general, is the gun in your home kept in a locked place, or not?","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
20,1,1,"In general, is the gun in your home kept loaded, or not?","['Yes, kept loaded', 'No, not kept loaded', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
21,1,1,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
22,1,1,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
23,1,1,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
24,1,1,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
25,1,1,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
26,1,1,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,"['Yes, was a reason', 'No, was not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
27,1,1,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,"['Yes, was a reason', 'No, was not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
28,1,1,"Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet","['Yes, was a reason', 'No, was not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
29,1,1,"Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?","['All or most', 'Some', 'Only a few', 'None', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
30,1,1,"How often, if ever, did you go shooting or to a gun range when you were growing up?","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
31,1,1,"How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
