question_id;question_var_id;answer_var_id;question;answer_options;source;decision;subject
1;1;1;How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
2;1;1;How much, if at all, do you worry about the following happening to you? Not being able to pay your bills;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
3;1;1;How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
4;1;1;How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
5;1;1;Do you currently or have you ever owned a shotgun?;['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
6;1;1;Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection;['Major reason', 'Minor reason', 'Not a reason', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
7;1;1;Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting;['Major reason', 'Minor reason', 'Not a reason', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
8;1;1;Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet;['Major reason', 'Minor reason', 'Not a reason', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
9;1;1;Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection;['Major reason', 'Minor reason', 'Not a reason', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
10;1;1;Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job;['Major reason', 'Minor reason', 'Not a reason', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
11;1;1;Which of the following is the most important reason why you own a gun?;['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;drop;Guns
12;1;1;How important, if at all, is being a gun owner to your overall identity?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
13;1;1;As far as you know, how many of your friends, if any, own guns?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
14;1;1;How often, if ever, do you go shooting or to a gun range?;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
