question_id,question_var_id,answer_var_id,question,answer_options,num_scale,scale_type,question_type,subject,source,shuffle_seed,Llama-3.1-8B-Instruct,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct
21,1,1,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,C,C,A,A
21,1,2,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot']","[0.33333333, -0.33333333, -1.0, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,B,B,A,A
21,1,3,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much']","[-1.0, 0.33333333, 1.0, -0.33333333]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,B,B,B,B
21,1,4,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot']","[-1.0, -0.33333333, 0.33333333, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,C,C,C,C
21,1,5,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot']","[-0.33333333, 0.33333333, -1.0, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,B,B,A,B
21,1,6,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A lot', 'None at all', 'Not too much', 'A fair amount']","[1.0, -1.0, -0.33333333, 0.33333333]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,C,C,A,A
22,1,1,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,C,C,A,B
22,1,2,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot']","[0.33333333, -0.33333333, -1.0, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,B,B,A,A
22,1,3,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much']","[-1.0, 0.33333333, 1.0, -0.33333333]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,A,D,B,B
22,1,4,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot']","[-1.0, -0.33333333, 0.33333333, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,B,B,C,B
22,1,5,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot']","[-0.33333333, 0.33333333, -1.0, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,A,A,A,A
22,1,6,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A lot', 'None at all', 'Not too much', 'A fair amount']","[1.0, -1.0, -0.33333333, 0.33333333]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,C,C,D,D
23,1,1,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,C,C,A,D
23,1,2,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot']","[0.33333333, -0.33333333, -1.0, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,B,B,A,B
23,1,3,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much']","[-1.0, 0.33333333, 1.0, -0.33333333]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,A,A,A,A
23,1,4,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot']","[-1.0, -0.33333333, 0.33333333, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,B,B,A,A
23,1,5,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot']","[-0.33333333, 0.33333333, -1.0, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,A,A,A,A
23,1,6,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A lot', 'None at all', 'Not too much', 'A fair amount']","[1.0, -1.0, -0.33333333, 0.33333333]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,C,C,D,B
24,1,1,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,C,C,A,A
24,1,2,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot']","[0.33333333, -0.33333333, -1.0, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,B,B,A,A
24,1,3,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much']","[-1.0, 0.33333333, 1.0, -0.33333333]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,B,B,B,B
24,1,4,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot']","[-1.0, -0.33333333, 0.33333333, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,C,C,C,C
24,1,5,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot']","[-0.33333333, 0.33333333, -1.0, 1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,B,B,A,B
24,1,6,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['A lot', 'None at all', 'Not too much', 'A fair amount']","[1.0, -1.0, -0.33333333, 0.33333333]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,C,C,A,D
32,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,A,B,A,A
32,1,2,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Somewhat important', 'Not too important', 'Not at all important', 'Very important']","[0.33333333, -0.33333333, -1.0, 1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,D,D,A,D
32,1,3,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Not at all important', 'Somewhat important', 'Very important', 'Not too important']","[-1.0, 0.33333333, 1.0, -0.33333333]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,C,C,C,C
32,1,4,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Not at all important', 'Not too important', 'Somewhat important', 'Very important']","[-1.0, -0.33333333, 0.33333333, 1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,C,D,C,D
32,1,5,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Not too important', 'Somewhat important', 'Not at all important', 'Very important']","[-0.33333333, 0.33333333, -1.0, 1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,D,D,B,D
32,1,6,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Very important', 'Not at all important', 'Not too important', 'Somewhat important']","[1.0, -1.0, -0.33333333, 0.33333333]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,A,A,A,A
33,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,B,B,A,A
33,1,2,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Somewhat important', 'Not too important', 'Not at all important', 'Very important']","[0.33333333, -0.33333333, -1.0, 1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,A,A,A,D
33,1,3,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Not at all important', 'Somewhat important', 'Very important', 'Not too important']","[-1.0, 0.33333333, 1.0, -0.33333333]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,B,B,B,C
33,1,4,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Not at all important', 'Not too important', 'Somewhat important', 'Very important']","[-1.0, -0.33333333, 0.33333333, 1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,C,C,C,D
33,1,5,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Not too important', 'Somewhat important', 'Not at all important', 'Very important']","[-0.33333333, 0.33333333, -1.0, 1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,B,B,B,D
33,1,6,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Very important', 'Not at all important', 'Not too important', 'Somewhat important']","[1.0, -1.0, -0.33333333, 0.33333333]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,D,D,A,A
34,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,B,B,A,A
34,1,2,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Somewhat important', 'Not too important', 'Not at all important', 'Very important']","[0.33333333, -0.33333333, -1.0, 1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,D,D,A,A
34,1,3,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Not at all important', 'Somewhat important', 'Very important', 'Not too important']","[-1.0, 0.33333333, 1.0, -0.33333333]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,B,C,C,C
34,1,4,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Not at all important', 'Not too important', 'Somewhat important', 'Very important']","[-1.0, -0.33333333, 0.33333333, 1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,C,C,C,D
34,1,5,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Not too important', 'Somewhat important', 'Not at all important', 'Very important']","[-0.33333333, 0.33333333, -1.0, 1.0]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,B,D,B,D
34,1,6,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Very important', 'Not at all important', 'Not too important', 'Somewhat important']","[1.0, -1.0, -0.33333333, 0.33333333]",4-unipolar,Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,D,D,A,A
